Date,Close/Last,Volume,Open,High,Low
1/23/2020,$206.52 ,8520798,$207.90 ,$208.40 ,$205.30 
1/22/2020,$207.90 ,8065003,$207.51 ,$210.13 ,$207.29 
1/21/2020,$207.29 ,14861650,$204.13 ,$208.39 ,$203.80 
1/17/2020,$204.70 ,12518920,$201.76 ,$204.75 ,$199.98 
1/16/2020,$200.95 ,9983741,$201 ,$201.50 ,$199.78 
1/15/2020,$199.80 ,10831060,$197 ,$200.15 ,$196.32 
1/14/2020,$196.05 ,6239663,$196.74 ,$196.95 ,$195.14 
1/13/2020,$195.33 ,11292360,$194.44 ,$195.60 ,$194.28 
1/10/2020,$193.77 ,6587582,$193.50 ,$194.57 ,$193.11 
1/9/2020,$193.25 ,6749144,$193 ,$193.92 ,$192.52 
1/8/2020,$191.92 ,5713315,$189.49 ,$192.50 ,$188.80 
1/7/2020,$188.69 ,4414489,$189.59 ,$190.10 ,$188.60 
1/6/2020,$189.19 ,10110570,$188 ,$189.21 ,$187.16 
1/3/2020,$189.60 ,4900888,$188.41 ,$190.96 ,$187.92 
1/2/2020,$191.12 ,8734203,$189 ,$191.14 ,$188.72 
12/31/2019,$187.90 ,5273036,$187.06 ,$188 ,$186.54 
12/30/2019,$187.83 ,4833587,$189.31 ,$189.48 ,$187.12 
12/27/2019,$189.39 ,5448825,$189.74 ,$189.89 ,$188.47 
12/26/2019,$189.16 ,5237302,$187.89 ,$189.18 ,$187.70 
12/24/2019,$187.57 ,2420922,$187.10 ,$188.02 ,$186.91 
12/23/2019,$187.08 ,5832058,$188.15 ,$188.41 ,$187 
12/20/2019,$188 ,11259670,$187.60 ,$188.17 ,$186.30 
12/19/2019,$186.54 ,5854574,$184.50 ,$186.58 ,$184.50 
12/18/2019,$184.90 ,8969077,$185.52 ,$186.44 ,$184.90 
12/17/2019,$185.52 ,10209380,$186.50 ,$186.78 ,$184.10 
12/16/2019,$186.24 ,8250829,$186.33 ,$186.82 ,$185.77 
12/13/2019,$185.14 ,8558821,$182.50 ,$185.52 ,$182.04 
12/12/2019,$182.64 ,11194990,$181.66 ,$183.33 ,$180.83 
12/11/2019,$182.01 ,7140159,$183.07 ,$183.08 ,$181.19 
12/10/2019,$182.26 ,8626036,$182.55 ,$183.15 ,$181.90 
12/9/2019,$182.92 ,10263510,$181.90 ,$183.26 ,$181.30 
12/6/2019,$182.17 ,14527690,$182.74 ,$183.28 ,$181.34 
12/5/2019,$181.89 ,4639619,$181.25 ,$182.03 ,$180.07 
12/4/2019,$180.60 ,10652340,$182.66 ,$182.80 ,$180.47 
12/3/2019,$181.90 ,4565433,$179.90 ,$182.14 ,$179.66 
12/2/2019,$181.79 ,6890539,$184.24 ,$184.37 ,$179.87 
11/29/2019,$184.51 ,3139087,$183.93 ,$184.85 ,$183.36 
11/27/2019,$184.37 ,11453290,$183 ,$184.54 ,$182.26 
11/26/2019,$182.55 ,7080264,$181.46 ,$182.92 ,$181.21 
11/25/2019,$180.97 ,5458117,$180.40 ,$181.35 ,$180.11 
11/22/2019,$179.47 ,6865618,$180.13 ,$180.47 ,$178.35 
11/21/2019,$179.89 ,5112247,$181.17 ,$181.81 ,$179.32 
11/20/2019,$181.66 ,6040751,$182.31 ,$183.22 ,$180.35 
11/19/2019,$182.77 ,8551440,$180.39 ,$182.98 ,$180.20 
11/18/2019,$179.66 ,7175036,$179.57 ,$180.32 ,$178.98 
11/15/2019,$179.77 ,7809545,$180.03 ,$180.68 ,$179.08 
11/14/2019,$179.75 ,9812608,$179 ,$179.77 ,$178.06 
11/13/2019,$179.41 ,6159587,$179.40 ,$180.88 ,$177.90 
11/12/2019,$179.74 ,6119315,$179.94 ,$181.06 ,$178.88 
11/11/2019,$179.54 ,3617682,$178.50 ,$180.36 ,$178.20 
11/8/2019,$178.97 ,3894840,$178.38 ,$179.45 ,$177.80 
11/7/2019,$178.43 ,7227171,$177.35 ,$180.65 ,$176.85 
11/6/2019,$176.77 ,6992475,$176.37 ,$178.19 ,$176.14 
11/5/2019,$176.37 ,7447455,$179.07 ,$179.56 ,$175.18 
11/4/2019,$178.95 ,7154752,$182.08 ,$182.40 ,$178.81 
11/1/2019,$180.93 ,7000179,$180.13 ,$181.32 ,$179.56 
10/31/2019,$178.86 ,6830810,$179.25 ,$179.70 ,$178.01 
10/30/2019,$179.25 ,5374780,$177.79 ,$179.42 ,$176.39 
