Date,Close/Last,Volume,Open,High,Low
2/10/2020,$294.41 ,1219558,$294.36 ,$295.56 ,$293.50 
2/7/2020,$294.30 ,1125358,$301 ,$301.37 ,$293.81 
2/6/2020,$301.23 ,706454,$302.75 ,$302.99 ,$299.81 
2/5/2020,$300.35 ,1839730,$300.28 ,$302.54 ,$297.61 
2/4/2020,$296 ,1109986,$297.78 ,$298.99 ,$295.79 
2/3/2020,$293.41 ,1040078,$293.10 ,$296.18 ,$292.13 
1/31/2020,$290.07 ,1460536,$296.24 ,$296.83 ,$288.86 
1/30/2020,$296 ,3328257,$297.50 ,$315.24 ,$295.25 
1/29/2020,$313.30 ,1255969,$315 ,$316.51 ,$312.11 
1/28/2020,$314.28 ,1129209,$315.46 ,$316.66 ,$312.42 
1/27/2020,$313.92 ,859132,$314.62 ,$316.75 ,$311.46 
1/24/2020,$319.58 ,1070289,$327.72 ,$328.31 ,$318.28 
1/23/2020,$327 ,944376,$330.32 ,$330.61 ,$326.66 
1/22/2020,$331 ,826072,$328.76 ,$332.62 ,$328.18 
1/21/2020,$328.33 ,1289553,$323.22 ,$330.53 ,$322.13 
1/17/2020,$324.72 ,1122799,$327.73 ,$327.93 ,$320.46 
1/16/2020,$325.96 ,722654,$323.43 ,$326.45 ,$321.59 
1/15/2020,$320.39 ,1178566,$320 ,$322.17 ,$318.02 
1/14/2020,$317.11 ,2174439,$324.08 ,$325.49 ,$317.03 
1/13/2020,$323.15 ,2338846,$335.91 ,$337.81 ,$312.83 
1/10/2020,$335.53 ,951472,$336.61 ,$339.63 ,$333.66 
1/9/2020,$334.60 ,879666,$334.99 ,$336.97 ,$332.64 
1/8/2020,$332.16 ,679696,$328.32 ,$334.50 ,$326.74 
1/7/2020,$329.69 ,789234,$328.21 ,$331.17 ,$326.11 
1/6/2020,$325.53 ,760871,$320.97 ,$325.71 ,$318.77 
1/3/2020,$322.73 ,1346075,$322.49 ,$325.14 ,$321.01 
1/2/2020,$327 ,777107,$329.05 ,$332.85 ,$323.29 
12/31/2019,$331.74 ,461632,$328.58 ,$331.96 ,$327.70 
12/30/2019,$328.14 ,854803,$332.25 ,$332.58 ,$324.76 
12/27/2019,$332.29 ,441568,$332.53 ,$332.78 ,$329.43 
